2025-07-08 17:03:58,602 - WARNING - Пропускаем запись с serialno: S34, начинается на 'S'.
2025-07-08 17:03:58,603 - WARNING - Пропускаем запись с serialno: S123, начинается на 'S'.
2025-07-08 17:03:58,603 - WARNING - Пропускаем запись с serialno: S77, начинается на 'S'.
2025-07-08 17:03:58,603 - WARNING - Пропускаем запись с serialno: S220, начинается на 'S'.
2025-07-08 17:03:58,604 - WARNING - Пропускаем запись с serialno: S151, начинается на 'S'.
2025-07-08 17:03:58,604 - WARNING - Пропускаем запись с serialno: S50, начинается на 'S'.
2025-07-08 17:03:58,604 - WARNING - Пропускаем запись с serialno: S181, начинается на 'S'.
2025-07-08 17:03:58,605 - WARNING - Пропускаем запись с serialno: S60, начинается на 'S'.
2025-07-08 17:03:58,605 - WARNING - Пропускаем запись с serialno: S120, начинается на 'S'.
2025-07-08 17:03:58,606 - WARNING - Пропускаем запись с serialno: S47, начинается на 'S'.
2025-07-08 17:03:58,606 - WARNING - Пропускаем запись с serialno: S223, начинается на 'S'.
2025-07-08 17:03:58,607 - WARNING - Пропускаем запись с serialno: S152, начинается на 'S'.
2025-07-08 17:03:58,607 - WARNING - Пропускаем запись с serialno: S98, начинается на 'S'.
2025-07-08 17:03:58,608 - WARNING - Пропускаем запись с serialno: S23, начинается на 'S'.
2025-07-08 17:03:58,608 - WARNING - Пропускаем запись с serialno: S95, начинается на 'S'.
2025-07-08 17:03:58,608 - WARNING - Пропускаем запись с serialno: S182, начинается на 'S'.
2025-07-08 17:03:58,609 - WARNING - Пропускаем запись с serialno: S110, начинается на 'S'.
2025-07-08 17:03:58,609 - WARNING - Пропускаем запись с serialno: S44, начинается на 'S'.
2025-07-08 17:03:58,610 - WARNING - Пропускаем запись с serialno: S49, начинается на 'S'.
2025-07-08 17:03:58,610 - WARNING - Пропускаем запись с serialno: S63, начинается на 'S'.
2025-07-08 17:03:58,611 - WARNING - Пропускаем запись с serialno: S20, начинается на 'S'.
2025-07-08 17:03:58,611 - WARNING - Пропускаем запись с serialno: S96, начинается на 'S'.
2025-07-08 17:03:58,612 - WARNING - Пропускаем запись с serialno: S213, начинается на 'S'.
2025-07-08 17:03:58,612 - WARNING - Пропускаем запись с serialno: S162, начинается на 'S'.
2025-07-08 17:03:58,612 - WARNING - Пропускаем запись с serialno: S81, начинается на 'S'.
2025-07-08 17:03:58,613 - WARNING - Пропускаем запись с serialno: S113, начинается на 'S'.
2025-07-08 17:03:58,613 - WARNING - Пропускаем запись с serialno: S37, начинается на 'S'.
